iter	Passed	Remaining
966	378343	1577931
967	378697	1577386
968	379051	1576837
969	379401	1576278
970	379773	1575807
971	380117	1575220
972	380491	1574757
973	380850	1574232
974	381214	1573733
975	381583	1573248
976	381941	1572723
977	382313	1572255
978	382688	1571796
979	383050	1571288
980	383423	1570825
981	383792	1570344
982	384173	1569912
983	384618	1569743
984	384991	1569278
985	385400	1568961
986	385755	1568424
987	386145	1568031
988	386492	1567464
989	386851	1566944
990	387209	1566420
991	387572	1565916
992	387927	1565383
993	388276	1564826
994	388632	1564296
995	389041	1563977
996	389431	1563584
997	389809	1563142
998	390160	1562595
999	390519	1562079
1000	390864	1561505
1001	391224	1560993
1002	391625	1560644
1003	391966	1560056
1004	392326	1559544
1005	392701	1559094
1006	393073	1558633
1007	393467	1558255
1008	393849	1557832
1009	394204	1557301
1010	394587	1556883
1011	394971	1556469
1012	395338	1555986
1013	395725	1555583
1014	396073	1555026
1015	396435	1554526
1016	396801	1554042
1017	397157	1553517
1018	397511	1552987
1019	397876	1552500
1020	398221	1551933
1021	398581	1551424
1022	398950	1550955
1023	399328	1550517
1024	399685	1549999
1025	400050	1549514
1026	400425	1549064
1027	400809	1548653
1028	401173	1548162
1029	401530	1547644
1030	401883	1547113
1031	402253	1546649
1032	402659	1546322
1033	403081	1546053
1034	403488	1545732
1035	403832	1545167
1036	404178	1544609
1037	404538	1544104
1038	404937	1543751
1039	405272	1543154
1040	405628	1542634
1041	406004	1542195
1042	406360	1541675
1043	406732	1541220
1044	407091	1540715
1045	407448	1540201
1046	407798	1539663
1047	408152	1539138
1048	408502	1538601
1049	408852	1538064
1050	409212	1537564
1051	409572	1537064
1052	409939	1536592
1053	410317	1536160
1054	410701	1535750
1055	411098	1535389
1056	411470	1534937
1057	411840	1534475
1058	412225	1534070
1059	412629	1533737
1060	412975	1533186
1061	413328	1532661
1062	413672	1532106
1063	414023	1531576
1064	414411	1531183
1065	414764	1530661
1066	415137	1530213
1067	415541	1529876
1068	415895	1529360
1069	416258	1528874
1070	416611	1528353
1071	416966	1527841
1072	417325	1527341
1073	417673	1526803
1074	418028	1526291
1075	418391	1525808
1076	418764	1525360
1077	419121	1524857
1078	419482	1524365
1079	419865	1523956
1080	420222	1523452
1081	420586	1522975
1082	420952	1522503
1083	421319	1522037
1084	421679	1521545
1085	422064	1521141
1086	422429	1520667
1087	422847	1520384
1088	423228	1519968
1089	423583	1519458
1090	423955	1519011
1091	424330	1518573
1092	424721	1518196
1093	425112	1517813
1094	425470	1517318
1095	425837	1516852
1096	426249	1516547
1097	426647	1516191
1098	427042	1515826
1099	427383	1515269
1100	427733	1514745
1101	428082	1514214
1102	428458	1513782
1103	428830	1513335
1104	429212	1512925
1105	429623	1512616
1106	430020	1512259
1107	430412	1511883
1108	430769	1511381
1109	431109	1510824
1110	431480	1510376
1111	431838	1509882
1112	432212	1509442
1113	432585	1509001
1114	432657	1507509
1115	433037	1507093
1116	433419	1506684
1117	433775	1506185
1118	434141	1505722
1119	434494	1505212
1120	434850	1504716
1121	435211	1504233
1122	435561	1503715
1123	435909	1503189
1124	436268	1502701
1125	436616	1502178
1126	436978	1501703
1127	437339	1501221
1128	437696	1500730
1129	438076	1500316
1130	438435	1499827
1131	438785	1499313
1132	439126	1498764
1133	439481	1498268
1134	439853	1497826
1135	440211	1497340
1136	440558	1496815
1137	440921	1496344
1138	441294	1495907
1139	441690	1495546
1140	442048	1495060
1141	442388	1494513
1142	442764	1494089
1143	443119	1493592
1144	443466	1493067
1145	443849	1492666
1146	444203	1492169
1147	444578	1491740
1148	444950	1491300
1149	445301	1490791
1150	445663	1490321
1151	446030	1489865
1152	446406	1489441
1153	446761	1488947
1154	447126	1488486
1155	447491	1488024
1156	447856	1487565
1157	448199	1487031
1158	448565	1486574
1159	448927	1486105
1160	449298	1485663
1161	449649	1485160
1162	450001	1484657
1163	450361	1484182
1164	450711	1483671
1165	451072	1483202
1166	451435	1482735
1167	451790	1482243
1168	452125	1481688
1169	452476	1481182
1170	452833	1480700
1171	453190	1480217
1172	453547	1479733
1173	453911	1479271
1174	454259	1478759
1175	454633	1478332
1176	454998	1477875
1177	455374	1477454
1178	455741	1477005
1179	456083	1476472
1180	456432	1475966
1181	456825	1475601
1182	457197	1475167
1183	457549	1474671
1184	457909	1474197
1185	458260	1473696
1186	458623	1473236
1187	458979	1472750
1188	459319	1472216
1189	459677	1471739
1190	460036	1471267
1191	460384	1470758
1192	460748	1470302
1193	461093	1469783
1194	461465	1469352
1195	461838	1468924
1196	462194	1468441
1197	462541	1467931
1198	462906	1467478
1199	463293	1467097
1200	463665	1466664
1201	464032	1466220
1202	464428	1465865
1203	464801	1465437
1204	465158	1464959
1205	465523	1464508
1206	465890	1464060
1207	466232	1463538
1208	466602	1463102
1209	466979	1462689
1210	467338	1462217
1211	467697	1461746
1212	468064	1461303
1213	468419	1460821
1214	468787	1460378
1215	469154	1459934
1216	469517	1459477
1217	469876	1459008
1218	470233	1458534
